dnsinfo_ip, dnsinfo_domain, country_code, geo_lat, geo_long
94.229.34.4, ns1.4estates.eu, SK, 48.6667, 19.5
94.229.34.4, 4estates.eu, SK, 48.6667, 19.5
94.229.34.4, ns1.webra-system.sk, SK, 48.6667, 19.5
94.229.34.4, ns2.4estates.eu, SK, 48.6667, 19.5
80.74.136.2, daotcm.ch, CH, 47.0, 8.0
80.74.136.2, www.soil.ch, CH, 47.0, 8.0
80.74.136.2, 2.136.74.80.list.dnswl.org, CH, 47.0, 8.0
80.74.136.2, psc-architekten.ch, CH, 47.0, 8.0
80.74.136.2, www.libpgf.org, CH, 47.0, 8.0
80.74.136.2, 4eternity.ch, CH, 47.0, 8.0
80.74.136.2, aurelius.ch-meta.net, CH, 47.0, 8.0
80.74.136.2, swisseduc.ch, CH, 47.0, 8.0
80.74.136.2, www.zso-niesen.ch, CH, 47.0, 8.0
80.74.136.2, www.velo-zuerich.ch, CH, 47.0, 8.0
83.169.32.159, www.fenjafunds.com, DE, 51.0, 9.0
83.169.32.159, lvps83-169-32-159.dedicated.hosteurope.de, DE, 51.0, 9.0
83.169.32.159, 4events.at, DE, 51.0, 9.0
194.116.186.70, horde.planet-school.de, DE, 51.0, 9.0
194.116.186.70, doc.ps-webhosting.de, DE, 51.0, 9.0
194.116.186.70, stats.ps-webhosting.de, DE, 51.0, 9.0
194.116.186.70, pma.planet-school.de, DE, 51.0, 9.0
194.116.186.70, ps-webhosting.de, DE, 51.0, 9.0
194.116.186.70, www.ps-webhosting.de, DE, 51.0, 9.0
194.116.186.70, 4ever-hosting.de, DE, 51.0, 9.0
194.116.186.70, webmail.planet-school.de, DE, 51.0, 9.0
195.225.104.182, www.fg-stadtsteinach.de, DE, 51.0, 9.0
195.225.104.182, 4ever4you.de, DE, 51.0, 9.0
195.225.104.182, fg-stadtsteinach.de, DE, 51.0, 9.0
212.227.97.23, 4everandever.de, DE, 51.0, 9.0
141.255.181.15, 4everdreams.nl, NL, 52.5, 5.75
141.255.181.15, www.gamestalker.nl, NL, 52.5, 5.75
178.18.129.48, 4everevents.nl, NL, 52.5, 5.75
217.13.199.20, www.mainecoons.de, DE, 51.0, 9.0
217.13.199.20, stephanroemer.de, DE, 51.0, 9.0
217.13.199.20, www.pferrer.de, DE, 51.0, 9.0
217.13.199.20, www.australien-wohnmobile.de, DE, 51.0, 9.0
217.13.199.20, geburtstagskalender-online.de, DE, 51.0, 9.0
217.13.199.20, www.y0u.de, DE, 51.0, 9.0
217.13.199.20, www.ostsee-urlaub-polen.de, DE, 51.0, 9.0
217.13.199.20, www.wilder-westen-web.de, DE, 51.0, 9.0
217.13.199.20, www.skg-gablenberg.de, DE, 51.0, 9.0
217.13.199.20, 4everflashlight.de, DE, 51.0, 9.0
217.13.199.20, www.stephanroemer.de, DE, 51.0, 9.0
217.13.199.20, www.duerener-unterwasserclub.de, DE, 51.0, 9.0
108.162.197.90, media.revefrance.com, US, 37.7697, -122.3933
108.162.197.90, cf-protected-www.habdenmut.info, US, 37.7697, -122.3933
108.162.197.90, cf-protected-www.koodakcity.com.cdn.cloudflare.net, US, 37.7697, -122.3933
108.162.197.90, www.paraglide-south-africa.com, US, 37.7697, -122.3933
108.162.197.90, chrismoyles.net, US, 37.7697, -122.3933
108.162.197.90, bbs.revefrance.com, US, 37.7697, -122.3933
108.162.197.90, iamit.org, US, 37.7697, -122.3933
108.162.197.90, shelbybark.com, US, 37.7697, -122.3933
108.162.197.90, cf-protected-www.memeorigin.com.cdn.cloudflare.net, US, 37.7697, -122.3933
108.162.197.90, irongarmx.net, US, 37.7697, -122.3933
108.162.197.90, cf-protected-www.isthismusic.com.cdn.cloudflare.net, US, 37.7697, -122.3933
108.162.197.90, chapter11cases.com, US, 37.7697, -122.3933
108.162.197.90, pongalo.com, US, 37.7697, -122.3933
108.162.197.90, gametyrant.co, US, 37.7697, -122.3933
108.162.197.90, jav4you.com, US, 37.7697, -122.3933
108.162.197.90, reactionface.info, US, 37.7697, -122.3933
108.162.197.90, www.iamit.org, US, 37.7697, -122.3933
108.162.197.90, www.pananth.com, US, 37.7697, -122.3933
108.162.197.90, habdenmut.info, US, 37.7697, -122.3933
108.162.197.90, 4evermusic.pl, US, 37.7697, -122.3933
108.162.197.90, innerbbs.revefrance.com, US, 37.7697, -122.3933
108.162.197.90, vtabloid.com, US, 37.7697, -122.3933
108.162.197.90, dylan-muir.com, US, 37.7697, -122.3933
108.162.197.90, cf-protected-www.autopulze.com.cdn.cloudflare.net, US, 37.7697, -122.3933
108.162.197.90, eroticity.net, US, 37.7697, -122.3933
108.162.197.90, cf-protected-www.kulturmafyasi.com.cdn.cloudflare.net, US, 37.7697, -122.3933
108.162.197.90, maniasim.com.br, US, 37.7697, -122.3933
108.162.197.90, pananth.com, US, 37.7697, -122.3933
108.162.197.90, rrrather.com, US, 37.7697, -122.3933
108.162.197.90, cf-protected-www.sylvesterstallone.com.cdn.cloudflare.net, US, 37.7697, -122.3933
108.162.196.90, media.revefrance.com, US, 37.7697, -122.3933
108.162.196.90, cf-protected-www.habdenmut.info, US, 37.7697, -122.3933
108.162.196.90, cf-protected-www.koodakcity.com.cdn.cloudflare.net, US, 37.7697, -122.3933
108.162.196.90, www.paraglide-south-africa.com, US, 37.7697, -122.3933
108.162.196.90, chrismoyles.net, US, 37.7697, -122.3933
108.162.196.90, iamit.org, US, 37.7697, -122.3933
108.162.196.90, shelbybark.com, US, 37.7697, -122.3933
108.162.196.90, pananth.com, US, 37.7697, -122.3933
108.162.196.90, cf-protected-www.memeorigin.com.cdn.cloudflare.net, US, 37.7697, -122.3933
108.162.196.90, irongarmx.net, US, 37.7697, -122.3933
108.162.196.90, cf-protected-www.isthismusic.com.cdn.cloudflare.net, US, 37.7697, -122.3933
108.162.196.90, chapter11cases.com, US, 37.7697, -122.3933
108.162.196.90, pongalo.com, US, 37.7697, -122.3933
108.162.196.90, gametyrant.co, US, 37.7697, -122.3933
108.162.196.90, jav4you.com, US, 37.7697, -122.3933
108.162.196.90, reactionface.info, US, 37.7697, -122.3933
108.162.196.90, www.iamit.org, US, 37.7697, -122.3933
108.162.196.90, www.pananth.com, US, 37.7697, -122.3933
